"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"afex","afex","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.3-0",NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psychTools, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm,
statmod, performance (>= 0.7.2), see (>= 0.6.4), ez,
ggResidpanel, grid, vdiffr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"anytime","anytime","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"ash","ash","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"askgpt","askgpt","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.1",NA,"R (>= 4.1.0)","cli, callr, dplyr, glue, methods, rlang, httr2, rappdirs,
jsonlite",NA,"covr, knitr, miniUI, rmarkdown, rstudioapi, shiny,
shinycssloaders, spelling, testthat (>= 3.0.0), withr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"audio","audio","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1-10",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"base","base","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","4.3.0","base",NA,NA,NA,"methods",NA,"Part of R 4.3.0",NA,NA,NA,NA,NA,"4.3.0"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"BayesFactor","BayesFactor","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.9.12-4.4",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, MatrixModels, Rcpp
(>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
